Timestamp,CIP,CIT,CDP,CDT,IGV_Position,Filter_DP,GT_Speed,VIB,Load
2025-07-01 00:00:00,127.4,24.0,10.0,346.0,76.0,23.0,3004.0,,95.1
2025-07-01 01:00:00,117.4,23.0,9.0,664.0,62.0,44.0,3018.0,,99.0
2025-07-01 02:00:00,125.4,23.0,9.0,662.0,61.0,55.0,3017.0,,99.1
2025-07-01 03:00:00,135.8,23.0,8.0,629.0,61.0,55.0,3014.0,,97.9
2025-07-01 04:00:00,133.4,24.0,8.0,327.0,57.0,66.0,3018.0,,96.0
2025-07-01 05:00:00,134.0,24.0,9.0,326.0,57.0,3.0,3006.0,,100.1
2025-07-01 06:00:00,135.6,24.0,9.0,333.0,63.0,55.0,3020.0,,103.0
2025-07-01 07:00:00,132.6,24.0,9.0,332.0,60.0,55.0,3019.0,,96.0
2025-07-01 08:00:00,127.9,24.0,9.0,334.0,63.0,66.0,3007.0,,102.8
2025-07-01 09:00:00,113.0,24.0,9.0,344.0,71.0,77.0,3016.0,,104.9
2025-07-01 10:00:00,114.5,24.0,9.0,357.0,56.0,8.0,3012.0,,106.4
2025-07-01 11:00:00,117.4,24.0,9.0,351.0,78.0,88.0,3014.0,,100.2
2025-07-01 12:00:00,103.5,24.0,10.0,361.0,86.0,8.0,3027.0,,108.9
2025-07-01 13:00:00,92.4,25.0,10.0,347.0,72.0,88.0,3019.0,,102.5
2025-07-01 14:00:00,95.5,27.0,10.0,362.0,82.0,99.0,3013.0,,107.7
2025-07-01 15:00:00,86.0,27.0,10.0,352.0,74.0,99.0,3018.0,,105.5
2025-07-01 16:00:00,92.7,28.0,10.0,356.0,79.0,99.0,3015.0,,107.8
2025-07-01 17:00:00,92.5,29.0,10.0,361.0,86.0,99.0,3004.0,,107.8
2025-07-01 18:00:00,93.2,27.0,10.0,360.0,83.0,99.0,3003.0,,105.1
2025-07-01 19:00:00,101.6,27.0,10.0,359.0,86.0,44.0,3009.0,,108.6
2025-07-01 20:00:00,108.5,25.0,10.0,358.0,86.0,5.0,3009.0,,109.9
2025-07-01 21:00:00,105.2,25.0,9.0,356.0,85.0,77.0,3008.0,,98.7
2025-07-01 22:00:00,110.4,25.0,10.0,359.0,86.0,88.0,3010.0,,109.6
2025-07-01 23:00:00,115.4,25.0,10.0,345.0,72.0,9.0,3017.0,,103.4
